Search rep 1 (of 2)
random seed = 220553
gen	best_like	time	optPrecision
8600	-5004.834318	193	0.451
8610	-5004.834237	194	0.451
8620	-5004.834235	194	0.451
8630	-5004.831748	194	0.451
8640	-5004.831592	194	0.451
8650	-5004.828356	194	0.451
8660	-5004.819316	194	0.451
8670	-5004.819316	194	0.451
8680	-5004.815224	194	0.451
8690	-5004.815224	194	0.451
8700	-5004.811345	194	0.451
8710	-5004.80317	194	0.451
8720	-5004.803169	194	0.451
8730	-5004.792926	194	0.451
8740	-5004.792926	194	0.451
8750	-5004.791668	194	0.451
8760	-5004.786904	194	0.451
8770	-5004.786513	194	0.451
8780	-5004.786513	194	0.451
8790	-5004.785639	194	0.451
8800	-5004.785546	194	0.451
8810	-5004.785546	194	0.451
8820	-5004.783366	194	0.451
8830	-5004.783269	194	0.451
8840	-5004.782109	194	0.451
8850	-5004.781944	194	0.451
8860	-5004.779341	194	0.451
8870	-5004.779341	194	0.451
8880	-5004.779341	194	0.451
8890	-5004.779337	195	0.451
8900	-5004.777213	195	0.451
8910	-5004.777213	195	0.451
8920	-5004.777213	195	0.451
8930	-5004.776655	195	0.451
8940	-5004.776634	195	0.451
8950	-5004.772201	195	0.451
8960	-5004.771079	195	0.451
8970	-5004.770746	195	0.451
8980	-5004.769314	195	0.451
8990	-5004.769314	195	0.451
9000	-5004.763467	195	0.451
9010	-5004.755785	195	0.451
9020	-5004.755784	195	0.451
9030	-5004.755744	195	0.451
9040	-5004.750929	195	0.451
9050	-5004.749344	195	0.451
9060	-5004.744464	195	0.451
9070	-5004.742741	195	0.451
9080	-5004.741475	195	0.451
9090	-5004.741435	195	0.451
9100	-5004.737269	195	0.451
9110	-5004.736077	195	0.402
9120	-5004.734082	195	0.402
9130	-5004.733795	195	0.402
9140	-5004.733795	195	0.402
9150	-5004.728375	195	0.402
9160	-5004.727843	196	0.402
9170	-5004.723446	196	0.402
9180	-5004.723446	196	0.402
9190	-5004.722577	196	0.402
9200	-5004.715664	196	0.402
9210	-5004.711652	196	0.402
9220	-5004.683773	196	0.402
9230	-5004.683773	196	0.402
9240	-5004.683259	196	0.402
9250	-5004.682973	196	0.402
9260	-5004.679954	196	0.402
9270	-5004.679132	196	0.402
9280	-5004.679099	196	0.402
9290	-5004.678199	196	0.402
9300	-5004.678199	196	0.402
9310	-5004.678199	196	0.402
9320	-5004.678199	196	0.402
9330	-5004.675955	196	0.402
9340	-5004.674686	196	0.402
9350	-5004.673897	196	0.402
9360	-5004.670415	196	0.402
9370	-5004.67041	196	0.402
9380	-5004.668915	196	0.402
9390	-5004.66737	196	0.402
9400	-5004.666729	196	0.402
9410	-5004.663354	196	0.402
9420	-5004.662538	196	0.402
9430	-5004.662538	196	0.402
9440	-5004.662538	197	0.402
9450	-5004.662532	197	0.402
9460	-5004.658626	197	0.402
9470	-5004.658523	197	0.402
9480	-5004.658517	197	0.402
9490	-5004.656995	197	0.402
9500	-5004.656995	197	0.402
9510	-5004.656995	197	0.402
9520	-5004.654331	197	0.402
9530	-5004.653114	197	0.402
9540	-5004.65273	197	0.402
9550	-5004.652697	197	0.402
9560	-5004.635169	197	0.402
9570	-5004.635167	197	0.402
9580	-5004.635113	197	0.402
9590	-5004.602885	197	0.402
9600	-5004.601801	197	0.402
9610	-5004.586654	197	0.402
9620	-5004.586239	197	0.402
9630	-5004.585783	197	0.402
